8,,,,,
A_pet,4,cat,dog,fish,skunk
B_pet,4,cat,dog,fish,skunk
C_pet,4,cat,dog,fish,skunk
D_pet,4,cat,dog,fish,skunk
A_food,4,chocolate,garlic,pasta,tuna
B_food,4,chocolate,garlic,pasta,tuna
C_food,4,chocolate,garlic,pasta,tuna
D_food,4,chocolate,garlic,pasta,tuna
2,,,,,
A_pet,B_pet,C_pet,D_pet,,
A_food,B_food,C_food,D_food,,
16,,,,,
A_pet/dog,A_food/chocolate,,,,
B_pet/dog,B_food/chocolate,,,,
C_pet/dog,C_food/chocolate,,,,
D_pet/dog,D_food/chocolate,,,,
A_food/garlic,A_pet=skunk,,,,
B_food/garlic,B_pet=skunk,,,,
C_food/garlic,C_pet=skunk,,,,
D_food/garlic,D_pet=skunk,,,,
A_pet/dog,A_food/tuna,,,,
B_pet/dog,B_food/tuna,,,,
C_pet/dog,C_food/tuna,,,,
D_pet/dog,D_food/tuna,,,,
A_food=pasta,,,,,
B_pet=cat,,,,,
C_pet/skunk,,,,,
C_food=chocolate,C_food=garlic,,,,
